:Data_list: 20070227_G12xr_5m.txt
:Created: 2007 Feb 28 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# CONTAINS 7 ENTRIES WHICH ARE NEGATIVE AND MUST BE DELETED FOR THE LOG CHART!
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-12
# Location: W075
# Missing data: -1.00e+05
#
#                         GOES-12 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2007 02 27  0000   54158      0     9.08e-10    3.74e-09    2.43e-01
2007 02 27  0005   54158    300     8.99e-10    3.73e-09    2.41e-01
2007 02 27  0010   54158    600     8.95e-10    3.73e-09    2.40e-01
2007 02 27  0015   54158    900     8.97e-10    3.73e-09    2.41e-01
2007 02 27  0020   54158   1200     9.10e-10    3.74e-09    2.43e-01
2007 02 27  0025   54158   1500     8.97e-10    3.73e-09    2.41e-01
2007 02 27  0030   54158   1800     8.99e-10    3.73e-09    2.41e-01
2007 02 27  0035   54158   2100     8.99e-10    3.73e-09    2.41e-01
2007 02 27  0040   54158   2400     8.99e-10    3.73e-09    2.41e-01
2007 02 27  0045   54158   2700     8.99e-10    3.73e-09    2.41e-01
2007 02 27  0050   54158   3000     9.02e-10    3.73e-09    2.42e-01
2007 02 27  0055   54158   3300     8.99e-10    3.73e-09    2.41e-01
2007 02 27  0100   54158   3600     9.02e-10    3.73e-09    2.42e-01
2007 02 27  0105   54158   3900     8.95e-10    3.73e-09    2.40e-01
2007 02 27  0110   54158   4200     8.95e-10    3.75e-09    2.39e-01
2007 02 27  0115   54158   4500     8.99e-10    3.73e-09    2.41e-01
2007 02 27  0120   54158   4800     9.02e-10    3.73e-09    2.42e-01
2007 02 27  0125   54158   5100     9.01e-10    3.73e-09    2.42e-01
2007 02 27  0130   54158   5400     9.11e-10    3.73e-09    2.45e-01
2007 02 27  0135   54158   5700     9.01e-10    3.74e-09    2.41e-01
2007 02 27  0140   54158   6000     8.99e-10    3.73e-09    2.41e-01
2007 02 27  0145   54158   6300     8.97e-10    3.73e-09    2.40e-01
2007 02 27  0150   54158   6600     8.99e-10    3.73e-09    2.41e-01
2007 02 27  0155   54158   6900     9.07e-10    3.73e-09    2.43e-01
2007 02 27  0200   54158   7200     8.97e-10    3.73e-09    2.41e-01
2007 02 27  0205   54158   7500     9.04e-10    3.73e-09    2.43e-01
2007 02 27  0210   54158   7800     9.00e-10    3.73e-09    2.42e-01
2007 02 27  0215   54158   8100     9.02e-10    3.73e-09    2.42e-01
2007 02 27  0220   54158   8400     8.95e-10    3.73e-09    2.40e-01
2007 02 27  0225   54158   8700     9.00e-10    3.73e-09    2.42e-01
2007 02 27  0230   54158   9000     8.95e-10    3.73e-09    2.40e-01
2007 02 27  0235   54158   9300     8.95e-10    3.73e-09    2.40e-01
2007 02 27  0240   54158   9600     9.00e-10    3.73e-09    2.41e-01
2007 02 27  0245   54158   9900     9.00e-10    3.74e-09    2.41e-01
2007 02 27  0250   54158  10200     8.99e-10    3.73e-09    2.41e-01
2007 02 27  0255   54158  10500     8.95e-10    3.73e-09    2.40e-01
2007 02 27  0300   54158  10800     9.02e-10    3.73e-09    2.42e-01
2007 02 27  0305   54158  11100     8.97e-10    3.75e-09    2.39e-01
2007 02 27  0310   54158  11400     8.95e-10    3.73e-09    2.40e-01
2007 02 27  0315   54158  11700     9.17e-10    3.73e-09    2.46e-01
2007 02 27  0320   54158  12000     8.95e-10    3.73e-09    2.40e-01
2007 02 27  0325   54158  12300     8.95e-10    3.74e-09    2.39e-01
2007 02 27  0330   54158  12600     9.04e-10    3.73e-09    2.43e-01
2007 02 27  0335   54158  12900     9.00e-10    3.73e-09    2.42e-01
2007 02 27  0340   54158  13200     9.02e-10    3.73e-09    2.42e-01
2007 02 27  0345   54158  13500     9.00e-10    3.73e-09    2.42e-01
2007 02 27  0350   54158  13800     8.95e-10    3.73e-09    2.40e-01
2007 02 27  0355   54158  14100     8.97e-10    3.74e-09    2.40e-01
2007 02 27  0400   54158  14400     8.95e-10    3.73e-09    2.40e-01
2007 02 27  0405   54158  14700     8.99e-10    3.73e-09    2.41e-01
2007 02 27  0410   54158  15000     8.97e-10    3.73e-09    2.41e-01
2007 02 27  0415   54158  15300     9.00e-10    3.73e-09    2.41e-01
2007 02 27  0420   54158  15600     9.02e-10    3.73e-09    2.42e-01
2007 02 27  0425   54158  15900     9.02e-10    3.73e-09    2.42e-01
2007 02 27  0430   54158  16200     9.11e-10    3.73e-09    2.44e-01
2007 02 27  0435   54158  16500     9.04e-10    3.79e-09    2.39e-01
2007 02 27  0440   54158  16800     8.97e-10    4.03e-09    2.23e-01
2007 02 27  0445   54158  17100     9.02e-10    3.75e-09    2.41e-01
2007 02 27  0450   54158  17400     8.95e-10    3.73e-09    2.40e-01
2007 02 27  0455   54158  17700     8.99e-10    3.73e-09    2.41e-01
2007 02 27  0500   54158  18000     8.99e-10    3.73e-09    2.41e-01
2007 02 27  0505   54158  18300    -1.00e+05   -1.00e+05   -1.00e+05
2007 02 27  0510   54158  18600    -1.00e+05   -1.00e+05   -1.00e+05
