:Data_list: 20070208_G12xr_5m.txt
:Created: 2007 Feb 09 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov
#
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-12
# Location: W075
# Missing data: -1.00e+05
#
#                         GOES-12 Solar X-ray Flux
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2007 02 08  0000   54139      0     1.98e-09    2.48e-08    7.96e-02
2007 02 08  0005   54139    300     1.97e-09    2.60e-08    7.57e-02
2007 02 08  0010   54139    600     1.97e-09    2.76e-08    7.13e-02
2007 02 08  0015   54139    900     1.96e-09    2.64e-08    7.44e-02
2007 02 08  0020   54139   1200     1.98e-09    2.52e-08    7.87e-02
2007 02 08  0025   54139   1500     1.98e-09    2.48e-08    7.99e-02
2007 02 08  0030   54139   1800     1.99e-09    2.69e-08    7.38e-02
2007 02 08  0035   54139   2100     1.98e-09    2.50e-08    7.95e-02
2007 02 08  0040   54139   2400     1.99e-09    2.38e-08    8.35e-02
2007 02 08  0045   54139   2700     1.98e-09    2.27e-08    8.71e-02
2007 02 08  0050   54139   3000     1.98e-09    2.30e-08    8.61e-02
2007 02 08  0055   54139   3300     1.98e-09    2.60e-08    7.63e-02
2007 02 08  0100   54139   3600     1.98e-09    2.43e-08    8.13e-02
2007 02 08  0105   54139   3900     1.98e-09    2.74e-08    7.23e-02
2007 02 08  0110   54139   4200     2.01e-09    2.95e-08    6.83e-02
2007 02 08  0115   54139   4500     1.97e-09    2.94e-08    6.69e-02
2007 02 08  0120   54139   4800     1.97e-09    2.94e-08    6.69e-02
2007 02 08  0125   54139   5100     1.98e-09    2.95e-08    6.72e-02
2007 02 08  0130   54139   5400     1.97e-09    2.94e-08    6.69e-02
2007 02 08  0135   54139   5700     1.96e-09    2.91e-08    6.74e-02
2007 02 08  0140   54139   6000     1.96e-09    2.54e-08    7.71e-02
2007 02 08  0145   54139   6300     1.95e-09    2.52e-08    7.76e-02
2007 02 08  0150   54139   6600     1.96e-09    2.39e-08    8.20e-02
2007 02 08  0155   54139   6900     1.95e-09    2.27e-08    8.61e-02
2007 02 08  0200   54139   7200     1.95e-09    2.27e-08    8.59e-02
2007 02 08  0205   54139   7500     1.92e-09    2.25e-08    8.50e-02
2007 02 08  0210   54139   7800     1.80e-09    2.23e-08    8.04e-02
2007 02 08  0215   54139   8100     1.65e-09    2.23e-08    7.41e-02
2007 02 08  0220   54139   8400     1.29e-09    2.23e-08    5.78e-02
2007 02 08  0225   54139   8700     1.11e-09    2.24e-08    4.97e-02
2007 02 08  0230   54139   9000     1.00e-09    2.46e-08    4.06e-02
2007 02 08  0235   54139   9300     9.98e-10    2.30e-08    4.34e-02
2007 02 08  0240   54139   9600     1.08e-09    2.42e-08    4.46e-02
2007 02 08  0245   54139   9900     1.09e-09    2.87e-08    3.79e-02
2007 02 08  0250   54139  10200     1.01e-09    2.33e-08    4.34e-02
2007 02 08  0255   54139  10500     1.03e-09    2.28e-08    4.50e-02
2007 02 08  0300   54139  10800     1.10e-09    2.51e-08    4.38e-02
2007 02 08  0305   54139  11100     1.14e-09    2.89e-08    3.95e-02
2007 02 08  0310   54139  11400     1.23e-09    2.93e-08    4.19e-02
2007 02 08  0315   54139  11700     1.08e-09    2.93e-08    3.69e-02
2007 02 08  0320   54139  12000     1.08e-09    2.93e-08    3.68e-02
2007 02 08  0325   54139  12300     1.01e-09    2.93e-08    3.44e-02
2007 02 08  0330   54139  12600     1.04e-09    2.93e-08    3.54e-02
2007 02 08  0335   54139  12900     1.16e-09    2.93e-08    3.97e-02
2007 02 08  0340   54139  13200     1.13e-09    2.93e-08    3.84e-02
2007 02 08  0345   54139  13500     1.62e-09    2.93e-08    5.51e-02
2007 02 08  0350   54139  13800     1.65e-09    2.93e-08    5.64e-02
2007 02 08  0355   54139  14100     1.77e-09    2.93e-08    6.03e-02
2007 02 08  0400   54139  14400     1.69e-09    2.88e-08    5.85e-02
2007 02 08  0405   54139  14700     1.66e-09    2.44e-08    6.80e-02
2007 02 08  0410   54139  15000     1.72e-09    2.27e-08    7.54e-02
2007 02 08  0415   54139  15300     1.82e-09    2.35e-08    7.71e-02
2007 02 08  0420   54139  15600     1.82e-09    2.41e-08    7.54e-02
2007 02 08  0425   54139  15900     1.72e-09    2.30e-08    7.46e-02
2007 02 08  0430   54139  16200     1.71e-09    2.23e-08    7.68e-02
2007 02 08  0435   54139  16500     1.66e-09    2.22e-08    7.47e-02
2007 02 08  0440   54139  16800     1.74e-09    2.22e-08    7.80e-02
2007 02 08  0445   54139  17100     1.67e-09    2.23e-08    7.51e-02
2007 02 08  0450   54139  17400     1.82e-09    2.23e-08    8.18e-02
2007 02 08  0455   54139  17700     1.92e-09    2.23e-08    8.62e-02
2007 02 08  0500   54139  18000     1.93e-09    2.23e-08    8.67e-02
2007 02 08  0505   54139  18300     1.98e-09    2.22e-08    8.92e-02
