:Data_list: 20110612_Gp_xr_5m.txt
:Created: 2011 Jun 12 2120 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W090
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2011 06 12  0000   55724      0     1.00e-09    1.52e-07    6.57e-03
2011 06 12  0005   55724    300     1.00e-09    1.52e-07    6.57e-03
2011 06 12  0010   55724    600     1.00e-09    1.49e-07    6.72e-03
2011 06 12  0015   55724    900     1.00e-09    1.44e-07    6.92e-03
2011 06 12  0020   55724   1200     1.00e-09    1.42e-07    7.05e-03
2011 06 12  0025   55724   1500     1.00e-09    1.46e-07    6.83e-03
2011 06 12  0030   55724   1800     1.00e-09    1.45e-07    6.92e-03
2011 06 12  0035   55724   2100     1.12e-09    1.45e-07    7.72e-03
2011 06 12  0040   55724   2400     1.00e-09    1.55e-07    6.44e-03
2011 06 12  0045   55724   2700     1.00e-09    1.81e-07    5.52e-03
2011 06 12  0050   55724   3000     1.01e-09    2.43e-07    4.15e-03
2011 06 12  0055   55724   3300     1.35e-09    3.00e-07    4.50e-03
2011 06 12  0100   55724   3600     1.15e-09    3.61e-07    3.19e-03
2011 06 12  0105   55724   3900     2.80e-09    4.16e-07    6.74e-03
2011 06 12  0110   55724   4200     3.38e-09    4.53e-07    7.46e-03
2011 06 12  0115   55724   4500     2.22e-09    4.54e-07    4.89e-03
2011 06 12  0120   55724   4800     3.17e-09    4.47e-07    7.09e-03
2011 06 12  0125   55724   5100     2.33e-09    4.33e-07    5.37e-03
2011 06 12  0130   55724   5400     1.14e-09    3.96e-07    2.88e-03
2011 06 12  0135   55724   5700     1.00e-09    3.57e-07    2.81e-03
2011 06 12  0140   55724   6000     1.00e-09    3.25e-07    3.09e-03
2011 06 12  0145   55724   6300     1.00e-09    3.04e-07    3.30e-03
2011 06 12  0150   55724   6600     1.00e-09    2.84e-07    3.52e-03
2011 06 12  0155   55724   6900     1.00e-09    2.59e-07    3.87e-03
2011 06 12  0200   55724   7200     1.00e-09    2.38e-07    4.20e-03
2011 06 12  0205   55724   7500     1.00e-09    2.23e-07    4.49e-03
2011 06 12  0210   55724   7800     1.08e-09    2.10e-07    5.12e-03
2011 06 12  0215   55724   8100     1.00e-09    2.01e-07    4.97e-03
2011 06 12  0220   55724   8400     1.00e-09    1.94e-07    5.15e-03
2011 06 12  0225   55724   8700     1.00e-09    1.86e-07    5.38e-03
2011 06 12  0230   55724   9000     1.00e-09    1.95e-07    5.15e-03
2011 06 12  0235   55724   9300     1.00e-09    1.98e-07    5.05e-03
2011 06 12  0240   55724   9600     1.02e-09    2.07e-07    4.93e-03
2011 06 12  0245   55724   9900     1.00e-09    2.12e-07    4.71e-03
2011 06 12  0250   55724  10200     1.00e-09    2.15e-07    4.67e-03
2011 06 12  0255   55724  10500     1.02e-09    2.09e-07    4.86e-03
2011 06 12  0300   55724  10800     1.00e-09    2.03e-07    4.93e-03
2011 06 12  0305   55724  11100     1.00e-09    1.98e-07    5.06e-03
2011 06 12  0310   55724  11400     1.00e-09    1.98e-07    5.05e-03
2011 06 12  0315   55724  11700     1.00e-09    1.89e-07    5.30e-03
2011 06 12  0320   55724  12000     1.00e-09    1.81e-07    5.52e-03
2011 06 12  0325   55724  12300     1.00e-09    1.76e-07    5.67e-03
2011 06 12  0330   55724  12600     1.00e-09    1.71e-07    5.83e-03
