:Data_list: 20120119_Gp_xr_5m.txt
:Created: 2012 Jan 20 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2012 01 19  0000   55945      0     1.82e-08    1.04e-06    1.76e-02
2012 01 19  0005   55945    300     1.15e-08    9.21e-07    1.25e-02
2012 01 19  0010   55945    600     9.50e-09    8.64e-07    1.10e-02
2012 01 19  0015   55945    900     5.17e-09    8.12e-07    6.37e-03
2012 01 19  0020   55945   1200     5.23e-09    7.73e-07    6.77e-03
2012 01 19  0025   55945   1500     7.97e-09    8.03e-07    9.92e-03
2012 01 19  0030   55945   1800     7.07e-09    7.93e-07    8.91e-03
2012 01 19  0035   55945   2100     4.57e-09    7.63e-07    6.00e-03
2012 01 19  0040   55945   2400     1.19e-09    7.14e-07    1.67e-03
2012 01 19  0045   55945   2700     3.81e-09    7.20e-07    5.30e-03
2012 01 19  0050   55945   3000     3.83e-09    6.90e-07    5.55e-03
2012 01 19  0055   55945   3300     8.66e-09    7.54e-07    1.15e-02
2012 01 19  0100   55945   3600     3.92e-09    7.51e-07    5.23e-03
2012 01 19  0105   55945   3900     3.87e-09    7.25e-07    5.33e-03
2012 01 19  0110   55945   4200     4.59e-09    7.19e-07    6.39e-03
2012 01 19  0115   55945   4500     3.60e-09    7.44e-07    4.84e-03
2012 01 19  0120   55945   4800     5.77e-09    7.72e-07    7.47e-03
2012 01 19  0125   55945   5100     9.76e-09    8.04e-07    1.21e-02
2012 01 19  0130   55945   5400     1.03e-08    8.46e-07    1.22e-02
2012 01 19  0135   55945   5700     1.09e-08    8.74e-07    1.25e-02
2012 01 19  0140   55945   6000     1.43e-08    9.02e-07    1.58e-02
2012 01 19  0145   55945   6300     2.18e-08    9.80e-07    2.22e-02
2012 01 19  0150   55945   6600     1.73e-08    1.00e-06    1.73e-02
2012 01 19  0155   55945   6900     1.69e-08    9.88e-07    1.71e-02
2012 01 19  0200   55945   7200     1.61e-08    9.87e-07    1.64e-02
2012 01 19  0205   55945   7500     1.66e-08    1.00e-06    1.66e-02
2012 01 19  0210   55945   7800     1.79e-08    1.06e-06    1.69e-02
2012 01 19  0215   55945   8100     1.37e-08    1.05e-06    1.31e-02
2012 01 19  0220   55945   8400     1.22e-08    1.03e-06    1.19e-02
2012 01 19  0225   55945   8700     1.37e-08    1.01e-06    1.37e-02
2012 01 19  0230   55945   9000     1.12e-08    9.84e-07    1.14e-02
2012 01 19  0235   55945   9300     1.07e-08    9.38e-07    1.14e-02
2012 01 19  0240   55945   9600     8.48e-09    9.01e-07    9.41e-03
2012 01 19  0245   55945   9900     6.03e-09    8.59e-07    7.01e-03
2012 01 19  0250   55945  10200     4.60e-09    8.33e-07    5.53e-03
2012 01 19  0255   55945  10500     4.03e-09    8.00e-07    5.04e-03
2012 01 19  0300   55945  10800     4.11e-09    7.69e-07    5.35e-03
2012 01 19  0305   55945  11100     2.70e-09    7.45e-07    3.62e-03
2012 01 19  0310   55945  11400     2.30e-09    7.26e-07    3.17e-03
2012 01 19  0315   55945  11700     1.90e-09    7.07e-07    2.68e-03
2012 01 19  0320   55945  12000     1.65e-09    6.88e-07    2.40e-03
2012 01 19  0325   55945  12300     1.13e-09    6.74e-07    1.67e-03
2012 01 19  0330   55945  12600     3.51e-09    6.99e-07    5.02e-03
2012 01 19  0335   55945  12900     2.50e-09    6.99e-07    3.57e-03
2012 01 19  0340   55945  13200     1.35e-09    6.86e-07    1.97e-03
2012 01 19  0345   55945  13500     1.08e-09    6.65e-07    1.62e-03
2012 01 19  0350   55945  13800     9.31e-09    7.12e-07    1.31e-02
2012 01 19  0355   55945  14100     3.08e-08    9.32e-07    3.30e-02
2012 01 19  0400   55945  14400     1.20e-09    6.58e-07    1.82e-03
2012 01 19  0405   55945  14700     1.16e-09    6.73e-07    1.72e-03
2012 01 19  0410   55945  15000     1.53e-09    6.84e-07    2.24e-03
2012 01 19  0415   55945  15300     2.95e-09    7.12e-07    4.14e-03
2012 01 19  0420   55945  15600     5.46e-09    7.53e-07    7.26e-03
2012 01 19  0425   55945  15900     6.06e-09    7.84e-07    7.73e-03
2012 01 19  0430   55945  16200     2.78e-09    7.41e-07    3.75e-03
2012 01 19  0435   55945  16500     2.08e-09    6.78e-07    3.07e-03
2012 01 19  0440   55945  16800     1.00e-09    6.26e-07    1.60e-03
2012 01 19  0445   55945  17100     1.01e-09    5.79e-07    1.74e-03
2012 01 19  0450   55945  17400     1.04e-09    5.50e-07    1.89e-03
2012 01 19  0455   55945  17700     1.00e-09    5.44e-07    1.85e-03
2012 01 19  0500   55945  18000     1.01e-09    5.24e-07    1.92e-03
2012 01 19  0505   55945  18300     1.01e-09    5.12e-07    1.98e-03
2012 01 19  0510   55945  18600     1.00e-09    5.12e-07    1.95e-03
2012 01 19  0515   55945  18900     1.00e-09    5.20e-07    1.92e-03
2012 01 19  0520   55945  19200     1.01e-09    5.13e-07    1.97e-03
2012 01 19  0525   55945  19500     1.00e-09    4.90e-07    2.04e-03
2012 01 19  0530   55945  19800     1.00e-09    4.90e-07    2.04e-03
2012 01 19  0535   55945  20100     1.00e-09    5.11e-07    1.96e-03
2012 01 19  0540   55945  20400     1.73e-09    5.13e-07    3.38e-03
2012 01 19  0545   55945  20700     1.17e-09    5.12e-07    2.29e-03
2012 01 19  0550   55945  21000     1.00e-09    5.07e-07    1.97e-03
2012 01 19  0555   55945  21300     1.01e-09    5.29e-07    1.91e-03
2012 01 19  0600   55945  21600     1.00e-09    5.29e-07    1.89e-03
2012 01 19  0605   55945  21900     1.00e-09    5.26e-07    1.90e-03
2012 01 19  0610   55945  22200     1.01e-09    5.27e-07    1.92e-03
2012 01 19  0615   55945  22500     1.00e-09    5.22e-07    1.92e-03
2012 01 19  0620   55945  22800     1.00e-09    5.11e-07    1.96e-03
2012 01 19  0625   55945  23100     1.04e-09    5.07e-07    2.04e-03
2012 01 19  0630   55945  23400     1.12e-09    5.38e-07    2.09e-03
2012 01 19  0635   55945  23700     2.42e-09    5.85e-07    4.14e-03
2012 01 19  0640   55945  24000     1.02e-09    5.56e-07    1.83e-03
2012 01 19  0645   55945  24300     1.70e-09    5.58e-07    3.04e-03
2012 01 19  0650   55945  24600     2.06e-09    5.68e-07    3.62e-03
2012 01 19  0655   55945  24900     1.01e-09    5.56e-07    1.82e-03
2012 01 19  0700   55945  25200     1.00e-09    5.48e-07    1.83e-03
2012 01 19  0705   55945  25500     1.00e-09    5.30e-07    1.89e-03
2012 01 19  0710   55945  25800     1.00e-09    5.05e-07    1.98e-03
2012 01 19  0715   55945  26100     1.04e-09    5.09e-07    2.04e-03
2012 01 19  0720   55945  26400     1.00e-09    5.15e-07    1.94e-03
2012 01 19  0725   55945  26700     1.00e-09    5.16e-07    1.94e-03
2012 01 19  0730   55945  27000     1.02e-09    5.19e-07    1.97e-03
2012 01 19  0735   55945  27300     1.20e-09    5.24e-07    2.28e-03
2012 01 19  0740   55945  27600     1.32e-09    5.50e-07    2.40e-03
2012 01 19  0745   55945  27900     1.00e-09    5.57e-07    1.80e-03
2012 01 19  0750   55945  28200     3.57e-09    6.09e-07    5.87e-03
2012 01 19  0755   55945  28500     2.49e-09    6.49e-07    3.84e-03
2012 01 19  0800   55945  28800     3.25e-09    6.68e-07    4.86e-03
2012 01 19  0805   55945  29100     4.28e-09    6.61e-07    6.46e-03
2012 01 19  0810   55945  29400     4.94e-09    6.62e-07    7.46e-03
2012 01 19  0815   55945  29700     3.53e-09    6.59e-07    5.36e-03
2012 01 19  0820   55945  30000     5.27e-09    6.84e-07    7.71e-03
2012 01 19  0825   55945  30300     8.06e-09    7.46e-07    1.08e-02
2012 01 19  0830   55945  30600     2.93e-08    9.93e-07    2.95e-02
