:Data_list: 20130517_Gp_xr_5m.txt
:Created: 2013 May 17 2200 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2013 05 17  0000   56429      0     2.58e-09    6.85e-07    3.77e-03
2013 05 17  0005   56429    300     2.15e-09    7.03e-07    3.05e-03
2013 05 17  0010   56429    600     3.60e-09    7.24e-07    4.98e-03
2013 05 17  0015   56429    900     3.53e-09    7.25e-07    4.87e-03
2013 05 17  0020   56429   1200     3.23e-09    7.17e-07    4.50e-03
2013 05 17  0025   56429   1500     2.68e-09    7.15e-07    3.75e-03
2013 05 17  0030   56429   1800     2.70e-09    7.17e-07    3.77e-03
2013 05 17  0035   56429   2100     3.72e-09    7.23e-07    5.07e-03
2013 05 17  0040   56429   2400     1.48e-08    8.82e-07    1.67e-02
2013 05 17  0045   56429   2700     1.30e-08    8.60e-07    1.51e-02
2013 05 17  0050   56429   3000     9.11e-09    8.04e-07    1.13e-02
2013 05 17  0055   56429   3300     6.15e-09    7.88e-07    7.81e-03
2013 05 17  0100   56429   3600     3.80e-09    7.72e-07    4.88e-03
2013 05 17  0105   56429   3900     2.84e-09    7.49e-07    3.78e-03
2013 05 17  0110   56429   4200     4.34e-09    7.66e-07    5.66e-03
2013 05 17  0115   56429   4500     4.81e-09    7.40e-07    6.52e-03
2013 05 17  0120   56429   4800     9.19e-09    8.57e-07    1.06e-02
2013 05 17  0125   56429   5100     5.40e-09    8.30e-07    6.47e-03
2013 05 17  0130   56429   5400     2.55e-09    7.81e-07    3.27e-03
2013 05 17  0135   56429   5700     5.31e-09    7.98e-07    6.64e-03
2013 05 17  0140   56429   6000     7.92e-09    8.29e-07    9.54e-03
2013 05 17  0145   56429   6300     3.64e-09    7.66e-07    4.76e-03
2013 05 17  0150   56429   6600     1.79e-09    7.36e-07    2.43e-03
2013 05 17  0155   56429   6900     5.92e-09    8.08e-07    7.28e-03
2013 05 17  0200   56429   7200     2.62e-09    7.65e-07    3.42e-03
2013 05 17  0205   56429   7500     3.20e-09    7.50e-07    4.27e-03
2013 05 17  0210   56429   7800     1.80e-09    7.43e-07    2.42e-03
2013 05 17  0215   56429   8100     2.14e-09    7.44e-07    2.87e-03
2013 05 17  0220   56429   8400     7.08e-09    7.94e-07    8.89e-03
2013 05 17  0225   56429   8700     5.93e-09    8.07e-07    7.31e-03
2013 05 17  0230   56429   9000     1.82e-09    7.32e-07    2.48e-03
2013 05 17  0235   56429   9300     2.44e-09    7.22e-07    3.36e-03
2013 05 17  0240   56429   9600     3.49e-09    7.39e-07    4.72e-03
2013 05 17  0245   56429   9900     2.61e-09    7.55e-07    3.45e-03
2013 05 17  0250   56429  10200     2.34e-09    7.49e-07    3.14e-03
2013 05 17  0255   56429  10500     3.95e-09    7.27e-07    5.41e-03
2013 05 17  0300   56429  10800     3.65e-09    6.99e-07    5.18e-03
